date,open
2015-08-10,25.17
2015-08-07,25.05
2015-08-06,26.08
2015-08-05,26.0
2015-08-04,26.12
2015-08-03,25.75
2015-07-31,25.15
2015-07-30,24.95
2015-07-29,25.06
2015-07-28,24.5
2015-07-27,25.14
2015-07-24,24.68
2015-07-23,24.99
2015-07-22,25.0
2015-07-21,25.0
2015-07-20,25.4
2015-07-17,25.15
2015-07-16,24.9
2015-07-15,24.66
2015-07-14,24.46
2015-07-13,24.33
2015-07-10,23.8
2015-07-09,23.67
2015-07-08,23.87
2015-07-07,24.19
2015-07-06,24.0
2015-07-03,23.97
2015-07-02,24.02
2015-07-01,22.93
2015-06-30,22.43
2015-06-29,21.9
2015-06-26,22.25
2015-06-25,22.12
2015-06-24,22.4
2015-06-23,22.4
2015-06-22,22.1
2015-06-19,22.0
2015-06-18,21.73
2015-06-17,21.95
2015-06-16,22.08
2015-06-15,21.9
2015-06-12,22.44
2015-06-11,22.8
2015-06-10,22.52
2015-06-09,22.37
2015-06-08,22.39
2015-06-05,22.42
2015-06-04,22.31
2015-06-03,22.35
2015-06-02,22.42
2015-06-01,22.47
2015-05-29,22.23
2015-05-28,21.75
2015-05-27,22.06
2015-05-26,23.2
2015-05-22,23.14
2015-05-21,23.4
2015-05-20,23.24
2015-05-19,23.23
2015-05-18,22.89
2015-05-15,23.14
2015-05-14,22.5
2015-05-13,22.54
2015-05-12,22.44
2015-05-11,23.07
2015-05-08,23.0
2015-05-07,22.5
2015-05-06,22.65
2015-05-05,22.9
2015-05-04,22.7
2015-04-30,23.0
2015-04-29,22.95
2015-04-28,23.21
2015-04-27,22.99
2015-04-24,22.9
2015-04-23,23.4
2015-04-22,22.84
2015-04-21,22.99
2015-04-20,23.1
2015-04-17,24.2
2015-04-16,25.15
2015-04-15,25.5
2015-04-14,25.1
2015-04-13,25.3
2015-04-10,24.74
2015-04-09,24.8
2015-04-08,25.06
2015-04-07,24.74
2015-04-02,24.6
2015-04-01,24.28
2015-03-31,24.5
2015-03-30,24.28
2015-03-27,24.0
2015-03-26,23.9
2015-03-25,24.45
2015-03-24,24.15
2015-03-23,24.7
2015-03-20,24.73
2015-03-19,24.45
2015-03-18,25.35
2015-03-17,25.52
2015-03-16,25.25
2015-03-13,25.2
2015-03-12,24.51
2015-03-11,24.05
2015-03-10,24.0
2015-03-09,24.0
2015-03-06,24.2
2015-03-05,24.32
2015-03-04,23.96
2015-03-03,24.4
2015-03-02,24.55
2015-02-27,24.6
2015-02-26,24.6
2015-02-25,24.6
2015-02-24,24.3
2015-02-23,24.65
2015-02-20,24.7
2015-02-19,24.8
2015-02-18,24.75
2015-02-17,24.9
2015-02-16,24.75
2015-02-13,24.79
2015-02-12,24.15
2015-02-11,24.31
2015-02-10,23.76
2015-02-09,23.78
2015-02-06,24.5
2015-02-05,23.64
2015-02-04,24.01
2015-02-03,23.36
2015-02-02,23.33
2015-01-30,23.15
2015-01-29,23.5
2015-01-28,22.88
2015-01-27,22.87
2015-01-26,22.4
2015-01-23,22.75
2015-01-22,22.75
2015-01-21,22.75
2015-01-20,23.54
2015-01-19,22.75
2015-01-16,22.34
2015-01-15,22.21
2015-01-14,22.0
2015-01-13,21.95
2015-01-12,21.8
2015-01-09,21.3
2015-01-08,21.4
2015-01-07,21.54
2015-01-06,21.36
2015-01-05,21.31
2015-01-02,20.9
2014-12-30,21.27
2014-12-29,21.37
2014-12-23,21.52
2014-12-22,20.7
2014-12-19,20.5
2014-12-18,20.16
2014-12-17,20.01
2014-12-16,20.05
2014-12-15,20.34
2014-12-12,20.4
2014-12-11,20.6
2014-12-10,20.61
2014-12-09,20.64
2014-12-08,20.84
2014-12-05,21.72
2014-12-04,21.79
2014-12-03,21.81
2014-12-02,22.02
2014-12-01,22.1
2014-11-28,22.15
2014-11-27,22.0
2014-11-26,22.3
2014-11-25,22.3
2014-11-24,22.52
2014-11-21,22.57
2014-11-20,21.93
2014-11-19,22.0
2014-11-18,21.62
2014-11-17,21.55
2014-11-14,21.76
2014-11-13,21.66
2014-11-12,21.75
2014-11-11,21.75
2014-11-10,21.57
2014-11-07,21.56
2014-11-06,21.54
2014-11-05,21.57
2014-11-04,21.68
2014-11-03,21.86
2014-10-31,21.58
2014-10-30,21.48
2014-10-29,21.0
2014-10-28,20.8
2014-10-27,20.8
2014-10-24,21.0
2014-10-23,20.77
2014-10-22,20.9
2014-10-21,20.64
2014-10-20,21.5
2014-10-17,21.2
2014-10-16,20.2
2014-10-15,20.2
2014-10-14,20.22
2014-10-13,20.24
2014-10-10,21.42
2014-10-09,21.77
2014-10-08,22.32
2014-10-07,21.53
2014-10-06,21.6
2014-10-02,22.72
2014-10-01,23.0
2014-09-30,23.0
2014-09-29,23.21
2014-09-26,23.55
2014-09-25,23.63
2014-09-24,23.44
2014-09-23,23.2
2014-09-22,23.01
2014-09-19,23.58
2014-09-18,23.2
2014-09-17,23.5
2014-09-16,23.95
2014-09-15,24.0
2014-09-12,24.0
2014-09-11,24.05
2014-09-10,23.7
2014-09-09,23.5
2014-09-08,23.6
2014-09-05,23.75
2014-09-04,23.7
2014-09-03,23.5
2014-09-02,23.65
2014-09-01,23.29
2014-08-29,23.2
2014-08-28,23.45
2014-08-27,23.33
2014-08-26,23.45
2014-08-25,23.15
2014-08-22,23.3
2014-08-21,22.97
2014-08-20,22.88
2014-08-19,23.0
2014-08-18,23.1
2014-08-15,22.95
2014-08-14,21.99
2014-08-13,22.15
2014-08-12,21.97
2014-08-11,21.77
2014-08-08,21.8
2014-08-07,21.83
2014-08-06,21.94
2014-08-05,21.85
2014-08-04,21.97
2014-08-01,22.1
2014-07-31,22.6
2014-07-30,22.69
2014-07-29,22.47
2014-07-28,22.63
2014-07-25,22.47
2014-07-24,22.49
2014-07-23,22.65
2014-07-22,22.7
2014-07-21,22.26
2014-07-18,23.0
2014-07-17,23.0
2014-07-16,23.0
2014-07-15,23.12
2014-07-14,23.14
2014-07-11,23.15
2014-07-10,23.28
2014-07-09,23.25
2014-07-08,23.36
2014-07-07,23.1
2014-07-04,22.81
2014-07-03,22.4
2014-07-02,22.19
2014-07-01,22.47
2014-06-30,21.9
2014-06-27,20.85
